Antecedente;Consequente;Suporte;Confiança
[6, 16, 3];[9, 12];2;100.0%
[12, 6, 3];[9, 16];2;50.0%
[6, 9, 3];[12, 16];2;50.0%
[12, 16];[3, 6, 9];2;50.0%
[9, 16];[3, 6, 12];2;66.7%
[12, 9];[3, 6, 16];2;33.3%
[6, 16];[3, 9, 12];2;50.0%
[12, 6];[3, 9, 16];2;28.6%
[6, 9];[3, 12, 16];2;40.0%
[16, 3];[6, 9, 12];2;100.0%
[12, 3];[6, 9, 16];2;50.0%
[9, 3];[6, 12, 16];2;50.0%
[6, 3];[9, 12, 16];2;50.0%
[16];[3, 6, 9, 12];2;40.0%
[12];[3, 6, 9, 16];2;20.0%
[9];[3, 6, 12, 16];2;33.3%
[6];[3, 9, 12, 16];2;22.2%
[3];[6, 9, 12, 16];2;50.0%
[12, 13, 9, 16];[6];2;100.0%
[12, 6, 13, 16];[9];2;100.0%
[6, 13, 9, 16];[12];2;100.0%
[12, 6, 9, 16];[13];2;66.7%
[12, 6, 13, 9];[16];2;50.0%
[12, 13, 16];[6, 9];2;100.0%
[13, 9, 16];[6, 12];2;100.0%
[12, 9, 16];[6, 13];2;66.7%
[12, 13, 9];[6, 16];2;50.0%
[6, 13, 16];[9, 12];2;66.7%
[12, 6, 16];[9, 13];2;66.7%
[12, 6, 13];[9, 16];2;40.0%
[6, 9, 16];[12, 13];2;66.7%
[6, 13, 9];[12, 16];2;50.0%
[12, 6, 9];[13, 16];2;40.0%
[13, 16];[6, 9, 12];2;66.7%
[12, 16];[6, 9, 13];2;50.0%
[12, 13];[6, 9, 16];2;40.0%
[9, 16];[6, 12, 13];2;66.7%
[13, 9];[6, 12, 16];2;50.0%
[12, 9];[6, 13, 16];2;33.3%
[6, 16];[9, 12, 13];2;50.0%
[6, 13];[9, 12, 16];2;28.6%
[12, 6];[9, 13, 16];2;28.6%
[6, 9];[12, 13, 16];2;40.0%
[16];[6, 9, 12, 13];2;40.0%
[13];[6, 9, 12, 16];2;22.2%
[12];[6, 9, 13, 16];2;20.0%
[9];[6, 12, 13, 16];2;33.3%
[6];[9, 12, 13, 16];2;22.2%
[6, 13, 16, 7, 11];[1];1;100.0%
[13, 1, 16, 7, 11];[6];1;100.0%
[6, 13, 1, 16, 11];[7];1;100.0%
[6, 13, 1, 16, 7];[11];1;100.0%
[6, 1, 16, 7, 11];[13];1;100.0%
[6, 13, 1, 7, 11];[16];1;100.0%
[13, 16, 7, 11];[1, 6];1;100.0%
[6, 13, 16, 11];[1, 7];1;100.0%
[6, 13, 16, 7];[1, 11];1;100.0%
[6, 16, 7, 11];[1, 13];1;100.0%
[6, 13, 7, 11];[1, 16];1;100.0%
[13, 1, 16, 11];[6, 7];1;100.0%
[13, 1, 16, 7];[6, 11];1;100.0%
[1, 16, 7, 11];[6, 13];1;100.0%
[13, 1, 7, 11];[6, 16];1;100.0%
[6, 13, 1, 16];[7, 11];1;50.0%
[6, 1, 16, 11];[7, 13];1;100.0%
[6, 13, 1, 11];[7, 16];1;50.0%
[6, 1, 16, 7];[11, 13];1;100.0%
[6, 13, 1, 7];[11, 16];1;50.0%
[6, 1, 7, 11];[13, 16];1;100.0%
[13, 16, 11];[1, 6, 7];1;100.0%
[13, 16, 7];[1, 6, 11];1;100.0%
