Antecedente;Consequente;Suporte;Confiança
[12, 9, 3];[6, 13, 17];1;25.0%
[6, 17, 3];[9, 12, 13];1;100.0%
[6, 13, 3];[9, 12, 17];1;33.3%
[12, 6, 3];[9, 13, 17];1;25.0%
[6, 9, 3];[12, 13, 17];1;25.0%
[13, 17];[3, 6, 9, 12];1;50.0%
[12, 17];[3, 6, 9, 13];1;33.3%
[12, 13];[3, 6, 9, 17];1;20.0%
[9, 17];[3, 6, 12, 13];1;50.0%
[13, 9];[3, 6, 12, 17];1;25.0%
[12, 9];[3, 6, 13, 17];1;16.7%
[6, 17];[3, 9, 12, 13];1;100.0%
[6, 13];[3, 9, 12, 17];1;14.3%
[12, 6];[3, 9, 13, 17];1;14.3%
[6, 9];[3, 12, 13, 17];1;20.0%
[17, 3];[6, 9, 12, 13];1;100.0%
[13, 3];[6, 9, 12, 17];1;33.3%
[12, 3];[6, 9, 13, 17];1;25.0%
[9, 3];[6, 12, 13, 17];1;25.0%
[6, 3];[9, 12, 13, 17];1;25.0%
[17];[3, 6, 9, 12, 13];1;20.0%
[13];[3, 6, 9, 12, 17];1;11.1%
[12];[3, 6, 9, 13, 17];1;10.0%
[9];[3, 6, 12, 13, 17];1;16.7%
[6];[3, 9, 12, 13, 17];1;11.1%
[3];[6, 9, 12, 13, 17];1;25.0%
[12, 6, 13, 9, 18];[3];1;100.0%
[12, 13, 9, 18, 3];[6];1;100.0%
[12, 6, 13, 18, 3];[9];1;100.0%
[6, 13, 9, 18, 3];[12];1;100.0%
[12, 6, 9, 18, 3];[13];1;100.0%
[12, 6, 13, 9, 3];[18];1;33.3%
[12, 13, 9, 18];[3, 6];1;100.0%
[12, 6, 13, 18];[3, 9];1;50.0%
[6, 13, 9, 18];[3, 12];1;100.0%
[12, 6, 9, 18];[3, 13];1;100.0%
[12, 6, 13, 9];[3, 18];1;25.0%
[12, 13, 18, 3];[6, 9];1;100.0%
[13, 9, 18, 3];[6, 12];1;100.0%
[12, 9, 18, 3];[6, 13];1;100.0%
[12, 13, 9, 3];[6, 18];1;33.3%
[6, 13, 18, 3];[9, 12];1;100.0%
[12, 6, 18, 3];[9, 13];1;100.0%
[12, 6, 13, 3];[9, 18];1;33.3%
[6, 9, 18, 3];[12, 13];1;100.0%
[6, 13, 9, 3];[12, 18];1;33.3%
[12, 6, 9, 3];[13, 18];1;25.0%
[12, 13, 18];[3, 6, 9];1;50.0%
[13, 9, 18];[3, 6, 12];1;100.0%
[12, 9, 18];[3, 6, 13];1;100.0%
[12, 13, 9];[3, 6, 18];1;25.0%
[6, 13, 18];[3, 9, 12];1;33.3%
[12, 6, 18];[3, 9, 13];1;33.3%
[12, 6, 13];[3, 9, 18];1;20.0%
[6, 9, 18];[3, 12, 13];1;100.0%
[6, 13, 9];[3, 12, 18];1;25.0%
[12, 6, 9];[3, 13, 18];1;20.0%
[13, 18, 3];[6, 9, 12];1;100.0%
[12, 18, 3];[6, 9, 13];1;100.0%
[12, 13, 3];[6, 9, 18];1;33.3%
[9, 18, 3];[6, 12, 13];1;100.0%
[13, 9, 3];[6, 12, 18];1;33.3%
[12, 9, 3];[6, 13, 18];1;25.0%
[6, 18, 3];[9, 12, 13];1;100.0%
[6, 13, 3];[9, 12, 18];1;33.3%
[12, 6, 3];[9, 13, 18];1;25.0%
[6, 9, 3];[12, 13, 18];1;25.0%
[13, 18];[3, 6, 9, 12];1;25.0%
[12, 18];[3, 6, 9, 13];1;33.3%
[12, 13];[3, 6, 9, 18];1;20.0%
[9, 18];[3, 6, 12, 13];1;100.0%
[13, 9];[3, 6, 12, 18];1;25.0%
[12, 9];[3, 6, 13, 18];1;16.7%
[6, 18];[3, 9, 12, 13];1;25.0%
[6, 13];[3, 9, 12, 18];1;14.3%
[12, 6];[3, 9, 13, 18];1;14.3%
[6, 9];[3, 12, 13, 18];1;20.0%
[18, 3];[6, 9, 12, 13];1;100.0%
[13, 3];[6, 9, 12, 18];1;33.3%
[12, 3];[6, 9, 13, 18];1;25.0%
[9, 3];[6, 12, 13, 18];1;25.0%
[6, 3];[9, 12, 13, 18];1;25.0%
[18];[3, 6, 9, 12, 13];1;20.0%
[13];[3, 6, 9, 12, 18];1;11.1%
[12];[3, 6, 9, 13, 18];1;10.0%
[9];[3, 6, 12, 13, 18];1;16.7%
[6];[3, 9, 12, 13, 18];1;11.1%
[3];[6, 9, 12, 13, 18];1;25.0%
[12, 6, 9, 16, 15];[3];1;100.0%
[12, 9, 16, 3, 15];[6];1;100.0%
[12, 6, 16, 3, 15];[9];1;100.0%
[6, 9, 16, 3, 15];[12];1;100.0%
[12, 6, 9, 16, 3];[15];1;50.0%
[12, 6, 9, 3, 15];[16];1;100.0%
[12, 9, 16, 15];[3, 6];1;100.0%
[12, 6, 16, 15];[3, 9];1;100.0%
[6, 9, 16, 15];[3, 12];1;100.0%
[12, 6, 9, 16];[3, 15];1;33.3%
[12, 6, 9, 15];[3, 16];1;100.0%
[12, 16, 3, 15];[6, 9];1;100.0%
[9, 16, 3, 15];[6, 12];1;100.0%
[12, 9, 16, 3];[6, 15];1;50.0%
[12, 9, 3, 15];[6, 16];1;100.0%
[6, 16, 3, 15];[9, 12];1;100.0%
[12, 6, 16, 3];[9, 15];1;50.0%
[12, 6, 3, 15];[9, 16];1;100.0%
[6, 9, 16, 3];[12, 15];1;50.0%
[6, 9, 3, 15];[12, 16];1;100.0%
[12, 6, 9, 3];[15, 16];1;25.0%
[12, 16, 15];[3, 6, 9];1;50.0%
[9, 16, 15];[3, 6, 12];1;100.0%
[12, 9, 16];[3, 6, 15];1;33.3%
[12, 9, 15];[3, 6, 16];1;100.0%
[6, 16, 15];[3, 9, 12];1;100.0%
[12, 6, 16];[3, 9, 15];1;33.3%
[12, 6, 15];[3, 9, 16];1;100.0%
[6, 9, 16];[3, 12, 15];1;33.3%
[6, 9, 15];[3, 12, 16];1;100.0%
[12, 6, 9];[3, 15, 16];1;20.0%
[16, 3, 15];[6, 9, 12];1;100.0%
[12, 16, 3];[6, 9, 15];1;50.0%
[12, 3, 15];[6, 9, 16];1;100.0%
[9, 16, 3];[6, 12, 15];1;50.0%
[9, 3, 15];[6, 12, 16];1;100.0%
[12, 9, 3];[6, 15, 16];1;25.0%
[6, 16, 3];[9, 12, 15];1;50.0%
[6, 3, 15];[9, 12, 16];1;100.0%
[12, 6, 3];[9, 15, 16];1;25.0%
[6, 9, 3];[12, 15, 16];1;25.0%
[16, 15];[3, 6, 9, 12];1;50.0%
[12, 16];[3, 6, 9, 15];1;25.0%
[12, 15];[3, 6, 9, 16];1;50.0%
[9, 16];[3, 6, 12, 15];1;33.3%
[9, 15];[3, 6, 12, 16];1;100.0%
[12, 9];[3, 6, 15, 16];1;16.7%
[6, 16];[3, 9, 12, 15];1;25.0%
[6, 15];[3, 9, 12, 16];1;100.0%
[12, 6];[3, 9, 15, 16];1;14.3%
[6, 9];[3, 12, 15, 16];1;20.0%
[16, 3];[6, 9, 12, 15];1;50.0%
[3, 15];[6, 9, 12, 16];1;100.0%
[12, 3];[6, 9, 15, 16];1;25.0%
[9, 3];[6, 12, 15, 16];1;25.0%
[6, 3];[9, 12, 15, 16];1;25.0%
[16];[3, 6, 9, 12, 15];1;20.0%
[15];[3, 6, 9, 12, 16];1;33.3%
[12];[3, 6, 9, 15, 16];1;10.0%
[9];[3, 6, 12, 15, 16];1;16.7%
[6];[3, 9, 12, 15, 16];1;11.1%
[3];[6, 9, 12, 15, 16];1;25.0%
