Antecedente;Consequente;Suporte;Confianca;Matriz Antecedentes;Matriz Consequentes;Pto Medio Anteced.;Pto Medio Conseq.;Suporte Anteced.;Suporte Conseq.;Dist. Anteced. -> Conseq.;Dist. Anteced. x Origem;Dist. Conseq. x Origem
[2, 4];[8, 12, 15, 16];1;33.3%;"[[0.  3.3]
 [3.3 0. ]]";"[[0.   9.16 4.76 7.73]
 [9.16 0.   6.   3.7 ]
 [4.76 6.   0.   3.94]
 [7.73 3.7  3.94 0.  ]]";"[-0.92  -0.449 -0.413  0.106  0.117 -0.05   0.148 -0.164 -0.153  0.089
 -0.04 ]";"[-0.015 -0.494 -0.076 -0.293  0.346  0.057 -0.084 -0.049  0.058 -0.047
  0.07 ]";3;1;5.39955559100346;[4.38614764];[3.72986423]
[16];[2, 4, 8, 12, 15];1;20.0%;[[0.]];"[[0.   3.3  2.71 6.36 5.19]
 [3.3  0.   5.4  6.6  2.67]
 [2.71 5.4  0.   9.16 4.76]
 [6.36 6.6  9.16 0.   6.  ]
 [5.19 2.67 4.76 6.   0.  ]]";"[ 0.508 -0.65  -0.049 -0.588  0.525  0.858 -0.009  0.028 -0.229 -0.069
  0.027]";"[-0.482 -0.445 -0.216 -0.074  0.219 -0.146 -0.006 -0.111  0.031  0.012
  0.034]";5;1;7.9745028287558535;[3.02112455];[5.26129579]
[15];[2, 4, 8, 12, 16];1;33.3%;[[0.]];"[[0.   3.3  2.71 6.36 8.4 ]
 [3.3  0.   5.4  6.6  7.35]
 [2.71 5.4  0.   9.16 7.73]
 [6.36 6.6  9.16 0.   3.7 ]
 [8.4  7.35 7.73 3.7  0.  ]]";"[-0.269 -0.864 -0.36  -0.551  0.293 -0.184 -0.204  0.268  0.286  0.08
 -0.022]";"[-0.327 -0.402 -0.154 -0.082  0.265  0.062  0.033 -0.159 -0.072 -0.018
  0.044]";3;1;1.674616189618115;[4.19968059];[3.43657125]
[12];[2, 4, 8, 15, 16];1;10.0%;[[0.]];"[[0.   3.3  2.71 5.19 8.4 ]
 [3.3  0.   5.4  2.67 7.35]
 [2.71 5.4  0.   4.76 7.73]
 [5.19 2.67 4.76 0.   3.94]
 [8.4  7.35 7.73 3.94 0.  ]]";"[ 0.631 -0.689  0.199  0.867  0.471 -0.189  0.004 -0.326  0.165  0.059
  0.135]";"[-0.506 -0.437 -0.266 -0.365  0.23   0.063 -0.009 -0.04  -0.047 -0.014
  0.013]";10;1;10.45465939788989;[1.71979025];[6.6370247]
[8];[2, 4, 12, 15, 16];1;20.0%;[[0.]];"[[0.   3.3  6.36 5.19 8.4 ]
 [3.3  0.   6.6  2.67 7.35]
 [6.36 6.6  0.   6.   3.7 ]
 [5.19 2.67 6.   0.   3.94]
 [8.4  7.35 3.7  3.94 0.  ]]";"[-0.931  0.227 -0.094 -0.899  0.096 -0.259 -0.127 -0.168  0.012 -0.259
  0.14 ]";"[-0.194 -0.62  -0.207 -0.012  0.304  0.077  0.017 -0.072 -0.017  0.05
  0.012]";5;1;7.475563555322672;[3.51439693];[4.8810158]
[4];[2, 8, 12, 15, 16];1;33.3%;[[0.]];"[[0.   2.71 6.36 5.19 8.4 ]
 [2.71 0.   9.16 4.76 7.73]
 [6.36 9.16 0.   6.   3.7 ]
 [5.19 4.76 6.   0.   3.94]
 [8.4  7.73 3.7  3.94 0.  ]]";"[-0.564 -0.666 -0.797 -0.006  0.085 -0.186  0.291 -0.225 -0.146  0.009
 -0.08 ]";"[-0.268 -0.442 -0.067 -0.191  0.307  0.062 -0.066 -0.06   0.015 -0.004
  0.056]";3;1;2.512183510373476;[4.66338519];[3.49651197]
[2];[4, 8, 12, 15, 16];1;16.7%;[[0.]];"[[0.   5.4  6.6  2.67 7.35]
 [5.4  0.   9.16 4.76 7.73]
 [6.6  9.16 0.   6.   3.7 ]
 [2.67 4.76 6.   0.   3.94]
 [7.35 7.73 3.7  3.94 0.  ]]";"[-1.276e+00 -2.310e-01 -2.800e-02  2.180e-01  1.480e-01  8.500e-02
  5.000e-03 -1.030e-01 -1.590e-01  1.690e-01 -1.000e-03]";"[-0.125 -0.529 -0.22  -0.235  0.294  0.008 -0.009 -0.085  0.017 -0.036
  0.04 ]";6;1;5.073171645806672;[3.20364024];[4.12636181]
[13, 8, 17, 5, 10];[2];1;100.0%;"[[0.   5.5  7.2  5.47 4.23]
 [5.5  0.   5.91 5.22 3.68]
 [7.2  5.91 0.   4.55 6.65]
 [5.47 5.22 4.55 0.   1.25]
 [4.23 3.68 6.65 1.25 0.  ]]";[[0.]];"[-0.503  0.332  0.431 -0.166 -0.164  0.069  0.111 -0.058  0.056 -0.028
  0.031]";"[-1.276e+00 -2.310e-01 -2.800e-02  2.180e-01  1.480e-01  8.500e-02
  5.000e-03 -1.030e-01 -1.590e-01  1.690e-01 -1.000e-03]";1;6;4.32606932971932;[5.9216437];[3.20364024]
[13, 2, 8, 17, 10];[5];1;100.0%;"[[0.   7.86 5.5  7.2  4.23]
 [7.86 0.   2.71 2.03 4.35]
 [5.5  2.71 0.   5.91 3.68]
 [7.2  2.03 5.91 0.   6.65]
 [4.23 4.35 3.68 6.65 0.  ]]";[[0.]];"[-0.616  0.199  0.271 -0.167 -0.147  0.032  0.169 -0.103  0.027 -0.026
  0.015]";"[-0.712  0.435  0.769  0.224  0.064  0.271 -0.286  0.122 -0.013  0.161
  0.078]";1;3;2.336295974911664;[5.71947831];[4.6084368]
[13, 2, 17, 5, 10];[8];1;100.0%;"[[0.   7.86 7.2  5.47 4.23]
 [7.86 0.   2.03 3.32 4.35]
 [7.2  2.03 0.   4.55 6.65]
 [5.47 3.32 4.55 0.   1.25]
 [4.23 4.35 6.65 1.25 0.  ]]";[[0.]];"[-0.572  0.241  0.444  0.057 -0.153  0.138  0.138 -0.045  0.022  0.058
  0.003]";"[-0.931  0.227 -0.094 -0.899  0.096 -0.259 -0.127 -0.168  0.012 -0.259
  0.14 ]";1;5;5.047533854291447;[6.23735256];[3.51439693]
