Antecedente;Consequente;Dist. Anteced. x Origem;Dist. Conseq. x Origem;Dist. Anteced. -> Conseq.;Dist. Anteced. - Conseq.;Suporte Ant.;Suporte Cons.;Suporte;Confianca;Lift;all-confianca
[17, 5];[2, 8, 10, 13];5.179259123829237;3.4360705420189013;3.94257437758634;1.7431885818103354;0.133333;0.133333;0.066667;0.5;0.066667;0.11111166666666668
[13, 5];[2, 8, 10, 17];4.936426737929245;4.472546226321027;10.033080144665162;0.46388051160821764;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[5, 10];[2, 8, 13, 17];5.485646245381383;2.783495980570699;2.81524226287722;2.7021502648106837;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[8, 5];[2, 10, 13, 17];5.323753212283481;2.63105213462956;1.8028139003408636;2.6927010776539215;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[2, 17];[5, 8, 10, 13];3.6248364555021726;1.9712175936947336;5.7112930390698455;1.653618861807439;0.266667;0.133333;0.066667;0.25;0.03333337499953126;0.11111166666666668
[13, 2];[5, 8, 10, 17];2.4664981909013477;3.8438332757244056;2.7809763571484303;-1.3773350848230579;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[2, 10];[5, 8, 13, 17];5.262463539615122;2.7164694902894895;2.1106153367838063;2.5459940493256323;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[2, 8];[5, 10, 13, 17];3.6716241547984345;1.5623451309064937;5.707520892201678;2.1092790238919408;0.266667;0.066667;0.066667;0.25;0.016666812500234378;0.11111166666666668
[2, 5];[8, 10, 13, 17];4.340658752640257;1.753275657143765;3.1120175276809228;2.587383095496492;0.2;0.066667;0.066667;0.3333333333333333;0.022222444445;0.11111166666666668
[17];[2, 5, 8, 10, 13];3.0865640960097056;1.4465165429655245;4.811520963421582;1.6400475530441812;0.333333;0.133333;0.066667;0.2;0.026666759999760006;0.11111166666666668
[13];[2, 5, 8, 10, 17];2.1259684496892204;0.9761115167389464;11.75138992419442;1.1498569329502741;0.6;0.066667;0.066667;0.1111111111111111;0.007407481481666668;0.11111166666666668
[10];[2, 5, 8, 13, 17];4.911922700737107;3.037447158531957;1.8713207741545903;1.87447554220515;0.133333;0.066667;0.066667;0.5;0.03333375000187501;0.11111166666666668
[8];[2, 5, 10, 13, 17];3.5126801586328846;1.2482291745165321;5.052690857617536;2.2644509841163525;0.333333;0.066667;0.066667;0.2;0.013333480000480003;0.11111166666666668
[5];[2, 8, 10, 13, 17];4.6054310069588364;1.9080876484250957;2.335810931491688;2.6973433585337405;0.2;0.066667;0.066667;0.3333333333333333;0.022222444445;0.11111166666666668
